,class_name,img_level_auroc,img_level_average_precision,pix_level_auroc,pix_level_average_precision,last
0,grid,0.7794486215538847,0.8615571382759885,0.3752882813585515,0.0053376217429627,1.0
1,carpet,0.953852327447833,0.9873431701089436,0.9508691398104362,0.3660903254052393,1.0
2,cable,0.4981259370314843,0.6409769022276026,0.739286263752615,0.0577379651933425,1.0
3,zipper,0.3642331932773109,0.7818406208729748,0.8388432412691305,0.0828246187592109,1.0
4,wood,0.993859649122807,0.9981930616464516,0.8995269698279305,0.3258174921599849,1.0
5,tile,0.8982683982683983,0.9595202589751572,0.7659652282989072,0.2840037413219378,1.0
6,metal_nut,0.5669599217986314,0.8613926009039155,0.7484587057094305,0.2147989735372186,1.0
7,transistor,0.345,0.3185507992181994,0.614547733277755,0.0755522969730023,1.0
8,bottle,0.5492063492063493,0.8248310045513794,0.7000305332842193,0.1239309336768333,1.0
9,leather,0.9612771739130436,0.988045822149816,0.9343256033324444,0.2424465324959387,1.0
10,pill,0.6159301691216585,0.9108981919698088,0.8187180353638537,0.1110181756134686,1.0
11,hazelnut,0.9485714285714286,0.970482398555352,0.9665469912713376,0.4217447564330691,1.0
12,toothbrush,0.7694444444444445,0.8958581732550861,0.8979854147484817,0.081278846236049,1.0
13,capsule,0.4264060630235341,0.8163723390274746,0.926796165628587,0.0794546648058014,1.0
14,screw,0.504611600737856,0.7658314395077876,0.9361967400894408,0.0245017823906034,1.0
15,AA,0.6783463518345776,0.8387795947497291,0.8075590031348748,0.16643591511631078,
