task,epoch,class_name,GT_class_name,img_level_auroc,img_level_average_precision,pix_level_auroc,pix_level_average_precision,epoch_time,last
0,0,grid,grid,0.6541353383458647,0.756829470984555,0.3530647166518685,0.005132631280483483,2.3587,0
0,10,grid,grid,0.9114452798663325,0.9718443167181687,0.9288144376622446,0.24166317160213832,0.1273,0
0,20,grid,grid,0.7076023391812866,0.8674814384179117,0.8280108306267526,0.03188829249708963,0.2106,0
0,30,grid,grid,0.81203007518797,0.9358269745303003,0.9124946037100204,0.20718080443988196,0.1044,0
0,40,grid,grid,0.8036758563074352,0.9279184790227091,0.9105765196905837,0.20667485043998968,0.0938,0
0,50,grid,grid,0.7451963241436926,0.9031081322978172,0.9031212503930128,0.20005034784649728,0.0994,0
0,60,grid,grid,0.744360902255639,0.900282715303274,0.9138938947296028,0.1990409818023568,0.1014,0
0,70,grid,grid,0.7568922305764412,0.910457382070099,0.908118559170654,0.21634610069391452,0.1033,0
0,80,grid,grid,0.7719298245614036,0.9121231074927783,0.9095900492695073,0.2009593457111511,0.1041,0
0,90,grid,grid,0.7894736842105263,0.9238697990229519,0.9236027504290565,0.22109584290819567,0.0982,0
0,100,grid,grid,0.8270676691729324,0.9399833947206837,0.9287198684653977,0.233005878879888,0.0975,0
0,110,grid,grid,0.8036758563074353,0.932785521797481,0.9290822555842551,0.22771424644641736,0.0989,0
0,120,grid,grid,0.8237259816207184,0.9355863979325396,0.9367711713798491,0.22906862835112604,0.1023,0
0,130,grid,grid,0.837092731829574,0.9411756384973773,0.936539568630705,0.23845773861118774,0.1008,0
0,140,grid,grid,0.835421888053467,0.9398252644519112,0.94217206046984,0.23373568572693848,0.1001,0
0,150,grid,grid,0.8320802005012532,0.9393508874470142,0.9307307606873529,0.2208495441110263,0.0987,0
0,160,grid,grid,0.8404344193817878,0.9404348944332532,0.9369395063128156,0.22598324745924747,0.1017,0
0,170,grid,grid,0.8571428571428572,0.9484988411638435,0.9427619262667503,0.23563655140226603,0.096,0
0,180,grid,grid,0.832080200501253,0.939687058127677,0.9369874573526569,0.2326077788597946,0.1017,0
0,190,grid,grid,0.8964076858813701,0.9633069950219264,0.9523778339575685,0.24540414181840015,0.099,0
0,200,grid,grid,0.847953216374269,0.9472417689286239,0.9435452412127164,0.23606890857585752,0.1181,0
0,210,grid,grid,0.8546365914786966,0.9508863654168442,0.9495080508445636,0.24405925339435317,0.1067,0
0,220,grid,grid,0.8680033416875522,0.9518545063543897,0.9404222298496856,0.227392407893727,0.0983,0
0,230,grid,grid,0.8671679197994987,0.9536753583543702,0.9484879662071191,0.2368597261360193,0.1044,0
0,240,grid,grid,0.8613199665831245,0.9520635170876719,0.9445613494589875,0.2303129424792338,0.1034,0
0,250,grid,grid,0.873015873015873,0.9555698699740602,0.9525144262798714,0.23983851538208992,0.0983,0
0,260,grid,grid,0.8696741854636593,0.9544436389336368,0.9478965985760375,0.23333182555401477,0.0953,0
0,263,grid,grid,0.8663324979114453,0.9535378394576712,0.9481618015586878,0.23397093650221606,0.0786,0
0,0,carpet,carpet,0.6051364365971108,0.7956150592175509,0.7507030300852844,0.04277180970209048,0.2309,0
0,10,carpet,carpet,0.9983948635634029,0.9995141066654061,0.9656482183279718,0.6038591112544444,0.1188,0
0,20,carpet,carpet,0.9751203852327447,0.9929503619746682,0.9889048170261442,0.6177063199713726,0.1314,0
0,30,carpet,carpet,0.988362760834671,0.9967988103214666,0.9901656590507586,0.6282593180238888,0.1258,0
0,40,carpet,carpet,0.9879614767255217,0.9969391499248179,0.9906482027902047,0.6337979453415116,0.1195,0
0,50,carpet,carpet,0.9887640449438202,0.9971397931226156,0.990427804306033,0.6292404797638347,0.1182,0
0,60,carpet,carpet,0.9887640449438202,0.9971931763336106,0.9905020037575624,0.6291214673132922,0.1162,0
0,70,carpet,carpet,0.988362760834671,0.9971179847750433,0.9906246629032114,0.6283974521540154,0.1166,0
0,80,carpet,carpet,0.9875601926163724,0.9968683452552838,0.9904703592050869,0.6242706606962307,0.1202,0
0,90,carpet,carpet,0.9887640449438202,0.9971931763336106,0.9908063462160454,0.6322909399173284,0.1181,0
0,100,carpet,carpet,0.9879614767255217,0.9969435368138511,0.9905162508094836,0.6246737379744601,0.1201,0
0,110,carpet,carpet,0.988362760834671,0.9970690496992578,0.9903141504476097,0.6186105316064381,0.1212,0
0,120,carpet,carpet,0.9871589085072232,0.9967944445795772,0.9907817894678989,0.6276401798590825,0.1224,0
0,130,carpet,carpet,0.9891653290529695,0.9973215914416846,0.990843351326199,0.629296324680051,0.1157,0
0,140,carpet,carpet,0.9899678972712681,0.9974759849087838,0.9910205554967667,0.6310927150797631,0.1239,0
0,150,carpet,carpet,0.9895666131621188,0.9973981080051296,0.9909492617375288,0.6308700513244442,0.1231,0
0,160,carpet,carpet,0.9895666131621188,0.9973518582744312,0.9907674454072367,0.623419807121489,0.1202,0
0,170,carpet,carpet,0.9903691813804173,0.9975118408397037,0.9907957242465709,0.6235632153275013,0.1215,0
0,180,carpet,carpet,0.9907704654895667,0.9976359674740563,0.9908736460002078,0.6239607428496952,0.12,0
0,190,carpet,carpet,0.9903691813804174,0.997555258755707,0.9910076256397381,0.6277486720046773,0.1177,0
0,200,carpet,carpet,0.9919743178170145,0.9978871033100918,0.9911541990254912,0.6310829307159235,0.1204,0
0,210,carpet,carpet,0.9907704654895667,0.9976359674740563,0.9909558639618404,0.6271368766555953,0.1228,0
0,220,carpet,carpet,0.9911717495987159,0.9977181503775978,0.9909902628219901,0.6252887326613373,0.1202,0
