,GT_class_name,img_level_auroc,img_level_average_precision,pix_level_auroc,pix_level_average_precision
0,grid,0.8663324979114453,0.9535378394576712,0.9481618015586878,0.233970936502216
1,carpet,0.9939807383627608,0.9983383324523728,0.9909737031918,0.622809037229159
2,cable,0.6905922038980509,0.7925238669586705,0.9201993592654588,0.3085447325154594
3,zipper,0.604516806722689,0.8594713714374624,0.8290999145370693,0.1401760598271675
4,wood,0.9912280701754386,0.9974095919297264,0.9383343766580416,0.4436105670737735
5,tile,1.0,0.9999999999999998,0.9509003992699564,0.4779008757187727
6,metal_nut,0.9345063538611924,0.9855375822155108,0.900748124012982,0.4985467674959277
7,transistor,0.7887500000000001,0.7957545890317065,0.8556954874408258,0.3655526185943967
8,bottle,0.9976190476190476,0.9992537993738068,0.9781604586393836,0.7116143093803939
9,leather,1.0,1.0000000000000002,0.991920911039169,0.4126459175907229
10,pill,0.8090561920349153,0.9472947064977788,0.9496380613632438,0.5180364605428206
11,hazelnut,0.9671428571428572,0.9800077397375664,0.9764533055459732,0.4714951369965792
12,toothbrush,0.8416666666666667,0.9346768969744274,0.9732296068495884,0.4400415748800768
13,capsule,0.5488631830873555,0.8653969729362766,0.951106056564417,0.2368826841182429
14,screw,0.5410944865751178,0.7456059656607794,0.8887632149581981,0.0136751218972657
